epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,8213.46,0.93288,6.49441,0.82018,0.65853,0.68913,0.70446,0.52491,0.86391,6.77918,0.82717,0.00039264,0.00039264,0.00039264
91,8370.44,0.8976,5.91482,0.82305,0.66839,0.67828,0.70346,0.52446,0.8649,6.7991,0.82706,0.00034227,0.00034227,0.00034227
92,8456.02,0.8917,5.79745,0.82051,0.6472,0.69125,0.71217,0.53193,0.86548,6.79852,0.8269,0.000296546,0.000296546,0.000296546
93,8544.02,0.89316,5.84323,0.82027,0.63263,0.68681,0.71182,0.53132,0.86757,6.80281,0.82678,0.000255513,0.000255513,0.000255513
94,8632.46,0.88902,5.76092,0.82142,0.64379,0.68389,0.71151,0.53151,0.86673,6.80306,0.82665,0.000219212,0.000219212,0.000219212
95,8722.02,0.89057,5.78906,0.82146,0.6477,0.67997,0.71264,0.53257,0.86802,6.79862,0.82663,0.000187678,0.000187678,0.000187678
96,8810.23,0.88336,5.69213,0.82171,0.64574,0.68355,0.71268,0.53217,0.86768,6.80117,0.82679,0.000160943,0.000160943,0.000160943
97,8899.64,0.89143,5.71315,0.82098,0.64415,0.6826,0.71195,0.53154,0.86846,6.79421,0.82683,0.000139032,0.000139032,0.000139032
98,8988.85,0.88356,5.68067,0.81682,0.64397,0.67998,0.71313,0.53328,0.86795,6.79849,0.82679,0.000121968,0.000121968,0.000121968
99,9079.23,0.88621,5.71027,0.81944,0.66914,0.6686,0.71265,0.53215,0.86765,6.79934,0.82674,0.000109768,0.000109768,0.000109768
100,9168.51,0.88452,5.65743,0.81945,0.67717,0.66082,0.71222,0.53242,0.86665,6.80703,0.82676,0.000102443,0.000102443,0.000102443
